rank,frames,minutes,folder,file
1,531.562,8.859,Annotation_reports_Nursery,12122025-nursery-mackerel.csv
2,531.562,8.859,Annotation_reports_Nursery,23022024-nursery-mackerel.csv
3,660.011122,11.000,Annotation_reports_Nursery,26112024-nursery-mackerel.csv
4,698.7549274,11.646,Annotation_reports_coral_reef,20240516-utumbi-mackerel.csv
5,708.708,11.812,Annotation_reports_coral_reef,15052024-milimani-mackerel.csv
6,2589.0136204473415,43.150,Annotation_reports_coral_reef,20241026-utumbi-mackerel-c10.csv
7,2661.282729,44.355,Annotation_reports_coral_reef,20241029-milimani-glasnudel-c8.csv
8,2831.3682533,47.189,Annotation_reports_coral_reef,20241105-utumbi-control-c8.csv
9,3038.376665,50.640,Annotation_reports_Nursery,20241209-nursery-algenmix.csv
10,3144.431689883664,52.407,Annotation_reports_coral_reef,20241030-milimani-glasnudel-c10.csv
