site,group,algae_median_feeding,fish_median_feeding,p_value,cliffs_delta,higher_side,p_value_holm,p_value_bh
milimani,composite::herbivore_core_families,0.0,0.0,0.7236736098317631,0.25,fish,1.0,0.7236736098317631
milimani,composite::herbivore_extended_with_damselfishes,0.0,0.0,0.7236736098317631,0.25,fish,1.0,0.7236736098317631
milimani,composite::invertivore_general,0.0,2.0,0.050399282871482265,-1.0,fish,0.6551906773292695,0.08975566229185368
milimani,composite::piscivore_core_families,0.0,3.5,0.0552342537180638,-1.0,fish,0.6551906773292695,0.08975566229185368
milimani,family::acanthuridae,0.0,0.0,0.7236736098317631,0.25,fish,1.0,0.7236736098317631
milimani,family::labridae,0.0,2.0,0.050399282871482265,-1.0,fish,0.6551906773292695,0.08975566229185368
milimani,family::lutjanidae,0.0,2.0,0.0552342537180638,-1.0,fish,0.6551906773292695,0.08975566229185368
milimani,family::pomacentridae,1.5,7.0,0.09520470468773326,-1.0,fish,0.6551906773292695,0.13751790677117026
milimani,family::serranidae,0.0,1.5,0.0552342537180638,-1.0,fish,0.6551906773292695,0.08975566229185368
milimani,word_group::groupers_large,0.0,1.5,0.0552342537180638,-1.0,fish,0.6551906773292695,0.08975566229185368
milimani,word_group::snappers,0.0,2.0,0.0552342537180638,-1.0,fish,0.6551906773292695,0.08975566229185368
milimani,word_group::surgeonfishes,0.0,0.0,0.7236736098317631,0.25,fish,1.0,0.7236736098317631
milimani,word_group::wrasses,0.0,2.0,0.050399282871482265,-1.0,fish,0.6551906773292695,0.08975566229185368
