"Species","MaxN","Total","Mean"
"Paletail Unicorn (Naso brevirostris)",21,39,13
"Humpback (Lutjanus gibbus)",20,28,9.33333333333333
"Paletail Unicorn Feeding",13,26,8.66666666666667
"Arabian Monocle (Scolopsis ghanam)",12,13,6.5
"Parrotfishes (Scaridae)",8,11,5.5
"Moorish Idol (Zanclus cornutus)",7,10,3.33333333333333
"Blackspot (Lutjanus fulviflamma)",6,11,3.66666666666667
"Threespot Dascyllus (Dascyllus trimaculatus)",4,6,3
"Black-backed (Chaetodon melannotus)",4,7,2.33333333333333
"Honeycomb (Siganus stellatus)",4,4,4
"Blue barred (Scarus ghobban)",3,3,3
"Yellowstripe (Mulloidichthys flavolineatus)",3,3,3
"Triggerfishes (Balistidae)",3,3,3
"Longbarbel (Parupeneus macronemus)",2,3,1.5
"Moon (Thalassoma lunare)",2,2,2
"Monk (Acanthurus gahhm)",2,2,2
"Sailfin Tang (Zebrasoma desjardinii)",2,2,2
"Yellow-margin (Gymnothorax flavimarginatus)",2,3,1.5
"Jacks/Trevallyes (Carangidae)",2,3,1.5
"Lined Bristletooth (Ctenochaetus striatus)",2,2,2
"Humpback Feeding",2,2,2
"Map (Arothron mappa)",2,2,2
"False-eye (Abudefduf sparoides)",1,1,1
"Genus Chromis",1,1,1
"Brown Tang (Zebrasoma scopas)",1,1,1
"Scissortail Sergeant (Abudefduf sexfasciatus)",1,1,1
"Threadfin (Chaetodon auriga)",1,1,1
"Genus Siganus",1,1,1
"Fusiliers (Caesionidae)",1,1,1
"Mahsena (Lethrinus mahsena)",1,1,1
"Honeycomb Feeding",1,1,1
"Trumpetfish (Aulostomus chinensis)",1,1,1
"Emperors (Lethrinidae)",1,1,1
"Longnose (Lethrinus olivaceus)",1,1,1
"Yellow-margin Feeding",1,1,1
"Yellowhead (Chaetodon xanthocephalus)",1,1,1
"Red-breasted (Cheilinus fasciatus)",1,1,1
"Parrotfishes Feeding",1,1,1
"Halfmoon (Sufflamen chrysopterum)",1,1,1
"Scrawled (Aluterus scriptus)",1,1,1
"Speckled (Parapercis hexophthalma)",1,1,1
