bait_type,anzahl_videos,richness_mean,richness_sd,maxn_mean,obs_mean,shannon_mean
091224-utumbi-fishmix,1,79.0,,49.0,428.0,3.47
241124-milimani-makerel,1,79.0,,40.0,344.0,3.52
241124-utumbi-makerel,1,73.0,,94.0,362.0,3.18
101224-utumbi-fishmix,1,68.0,,61.0,331.0,3.24
29112024-utumbi-sargassum,1,66.0,,34.0,273.0,3.32
281124-utumbi-sargassum,1,66.0,,62.0,271.0,3.21
151124-utumbi-control,1,63.0,,83.0,283.0,2.91
101124-utumbi-meersalat,1,62.0,,87.0,346.0,2.75
27102024-utumbic10-meersalat,1,61.0,,64.0,391.0,3.0
101124-milimani-meersalat,1,60.0,,99.0,326.0,2.68
101224-milimani-fishmix,1,60.0,,56.0,459.0,3.2
sargassum,2,59.0,7.07,48.0,276.5,3.29
121124-utumbi-glasnudel,1,59.0,,66.0,224.0,2.61
makarel,2,57.0,4.24,104.5,443.0,2.68
111124-utumbi-control,1,56.0,,55.0,270.0,2.84
29112024-milimani-sargassum,1,55.0,,129.0,339.0,2.56
281124-milimani-sargassum,1,52.0,,171.0,398.0,2.29
glasnudel,5,52.0,7.04,39.4,221.6,2.96
081224-nursery-algaemix,1,52.0,,43.0,425.0,2.89
111124-milimani-control,1,51.0,,118.0,343.0,2.14
151124-milimani-control,1,51.0,,56.0,169.0,2.85
121124-milimani-meersalat,1,50.0,,123.0,280.0,2.3
control,1,47.0,,112.0,399.0,2.18
041224-schnur-nursery,1,47.0,,23.0,230.0,3.12
091224-nursery-algaemix,1,47.0,,45.0,311.0,2.68
meersalat,2,46.0,12.73,89.0,335.5,2.63
unknown,3,43.33,4.93,40.33,182.0,2.8
27102024-milimanic8-meersalat,1,43.0,,11.0,112.0,3.36
051224-schnur-nursery,1,41.0,,14.0,222.0,3.12
061224-schnur-nursery,1,41.0,,23.0,177.0,3.06
